artwork,final_emo,final_vad
aaron-siskind_acolman-1-1955.jpg,sadness,"[0.25, 0.05, 0.4]"
aaron-siskind_chicago-1951.jpg,fear,"[0.2, 0.30000000000000004, 0.2]"
aaron-siskind_chicago-6-1961.jpg,sadness,"[0.3, 0.4, 0.25]"
aaron-siskind_feet-102-1957.jpg,excitement,"[0.55, 0.45, 0.375]"
aaron-siskind_gloucester-16a-1944.jpg,contentment,"[0.6, 0.2, 0.05]"
aaron-siskind_jerome-arizona-1949.jpg,awe,"[0.5, 0.0, 0.1]"
aaron-siskind_kentucky-4-1951.jpg,disgust,"[0.25, 0.0, 0.30000000000000004]"
aaron-siskind_new-york-1951.jpg,fear,"[0.25, 0.05, 0.25]"
aaron-siskind_new-york-2-1948.jpg,fear,"[0.3, 0.35, 0.4]"
aaron-siskind_new-york-24-1988.jpg,fear,"[0.225, 0.55, 0.625]"
aaron-siskind_new-york-40-1986.jpg,disgust,"[0.4, 0.25, 0.25]"
aaron-siskind_new-york-city-w-1-1947.jpg,fear,"[0.2, 0.7, 0.45]"
aaron-siskind_per-400-1983.jpg,anger,"[0.2, 0.25, 0.25]"
aaron-siskind_pleasures-and-terrors-of-levitation-25-1957.jpg,awe,"[0.65, 0.44999999999999996, 0.7]"
aaron-siskind_providence-92-1986.jpg,contentment,"[0.8, 0.1, 0.2]"
aaron-siskind_recife-olinda-8-1968.jpg,fear,"[0.05, 0.6, 0.65]"
aaron-siskind_rome-arch-of-constantine-10-1963.jpg,fear,"[0.23333333333333336, 0.2333333333333333, 0.3333333333333333]"
aaron-siskind_the-tree-35-1973.jpg,fear,"[0.3, 0.5, 0.55]"
aaron-siskind_uruapan-11-1955.jpg,sadness,"[0.1625, 0.4, 0.3]"
aaron-siskind_utah-84-1976.jpg,awe,"[0.28500000000000003, 0.4, 0.44999999999999996]"
aaron-siskind_vera-cruz-96-1973.jpg,sadness,"[0.225, 0.32499999999999996, 0.3]"
aaron-siskind_westport-10-1988.jpg,awe,"[0.5, 0.2, 0.2]"
aaron-siskind_yuchitan-1-1955.jpg,fear,"[0.25, 0.39999999999999997, 0.35]"
abidin-dino_abstract-composition.jpg,awe,"[0.7333333333333334, 0.4000000000000001, 0.2333333333333333]"
abidin-dino_antibes-1961-1.jpg,sadness,"[0.22499999999999998, 0.55, 0.35]"
abidin-dino_antibes-1961.jpg,sadness,"[0.30000000000000004, 0.44999999999999996, 0.25]"
abidin-dino_saman-sar-s-illustration.jpg,excitement,"[0.8000000000000002, 0.6333333333333334, 0.6]"
abidin-dino_unknown-title-2.jpg,awe,"[0.4, 0.2, 0.15000000000000002]"
abidin-dino_unknown-title-8.jpg,awe,"[0.5, 0.1, 0.2]"
ad-reinhardt_number-107-1950.jpg,contentment,"[0.8, 0.1, 0.2]"
ad-reinhardt_number-22-1949.jpg,sadness,"[0.25, 0.39999999999999997, 0.45]"
ad-reinhardt_number-43-abstract-painting-yellow-1947.jpg,disgust,"[0.25, 0.7, 0.6000000000000001]"
ad-reinhardt_number-6-1946.jpg,amusement,"[0.5, 0.55, 0.5]"
ad-reinhardt_yellow-painting-1949.jpg,amusement,"[0.7, 0.3, 0.2]"
adnan-coker_unknown-title(10).jpg,amusement,"[0.6499999999999999, 0.5, 0.44999999999999996]"
adnan-coker_unknown-title(3).jpg,sadness,"[0.1, 0.44999999999999996, 0.3]"
adnan-coker_untitled-1968.jpg,fear,"[0.1, 0.5, 0.5]"
aki-kuroda_conti-nuit-1979.jpg,excitement,"[0.7, 0.6499999999999999, 0.6]"
aki-kuroda_cosmogarden-2011.jpg,amusement,"[0.44999999999999996, 0.4, 0.2]"
aki-kuroda_first-night-i-1979.jpg,amusement,"[0.625, 0.42500000000000004, 0.25]"
aki-kuroda_midnight-spaghetti-2010.jpg,excitement,"[0.55, 0.8500000000000001, 0.8500000000000001]"
aki-kuroda_untitled-1987.jpg,anger,"[0.25, 0.6, 0.2]"
aki-kuroda_untitled-1988-1.jpg,sadness,"[0.2, 0.7, 0.6499999999999999]"
aki-kuroda_untitled-1988.jpg,excitement,"[0.8, 0.6, 0.5]"
aki-kuroda_untitled-1998-1.jpg,excitement,"[0.55, 0.6, 0.55]"
aki-kuroda_untitled-1998.jpg,sadness,"[0.5, 0.35, 0.4]"
aki-kuroda_untitled-2006.jpg,excitement,"[0.6499999999999999, 0.5, 0.35]"
aki-kuroda_untitled-2008-1.jpg,amusement,"[0.6666666666666666, 0.5666666666666667, 0.5333333333333333]"
aki-kuroda_untitled-2012-1.jpg,contentment,"[0.55, 0.15000000000000002, 0.15000000000000002]"
aki-kuroda_untitled-5-1982.jpg,sadness,"[0.35, 0.4, 0.35]"
al-held_taxi-cab-ii-1959.jpg,amusement,"[0.7333333333333334, 0.5333333333333333, 0.3666666666666667]"
al-held_untitled-1954.jpg,contentment,"[0.55, 0.2, 0.1]"
al-held_untitled-1955.jpg,contentment,"[0.55, 0.2, 0.1]"
