,artwork,emo1,emo2,emo3,vad1,vad2,vad3,final_emo,final_vad
0,aaron-siskind_acolman-1-1955.jpg,['contentment'],['sadness'],"['sadness', 'fear']","[0.4, 0.0, 0.0]","[0.3, 0.1, 0.0]","[0.2, 0.0, 0.8]",sadness,"[0.25, 0.05, 0.4]"
1,aaron-siskind_chicago-1951.jpg,['fear'],['fear'],"['sadness', 'disgust']","[0.2, 0.4, 0.3]","[0.2, 0.2, 0.1]","[0.3, 0.0, 0.1]",fear,"[0.2, 0.30000000000000004, 0.2]"
2,aaron-siskind_chicago-6-1961.jpg,['contentment'],['sadness'],['fear'],"[0.8, 0.2, 0.2]","[0.3, 0.4, 0.1]","[0.2, 0.1, 0.5]",sadness,"[0.3, 0.4, 0.25]"
3,aaron-siskind_feet-102-1957.jpg,['awe'],['excitement'],"['excitement', 'amusement', 'contentment']","[0.7, 0.3, 0.1]","[0.3, 0.1, 0.0]","[0.8, 0.8, 0.75]",excitement,"[0.55, 0.45, 0.375]"
4,aaron-siskind_gloucester-16a-1944.jpg,['contentment'],['disgust'],['contentment'],"[0.7, 0.3, 0.1]","[0.5, 0.1, 0.3]","[0.5, 0.1, 0.0]",contentment,"[0.6, 0.2, 0.05]"
5,aaron-siskind_jerome-arizona-1949.jpg,['contentment'],['awe'],['sadness'],"[0.8, 0.1, 0.3]","[0.5, 0.0, 0.1]","[0.2, 0.5, 0.3]",awe,"[0.5, 0.0, 0.1]"
6,aaron-siskind_kentucky-4-1951.jpg,['contentment'],['disgust'],"['anger', 'disgust', 'fear']","[0.8, 0.2, 0.2]","[0.3, 0.0, 0.2]","[0.2, 0.0, 0.4]",disgust,"[0.25, 0.0, 0.30000000000000004]"
7,aaron-siskind_new-york-1951.jpg,['contentment'],['fear'],['fear'],"[0.7, 0.1, 0.1]","[0.2, 0.0, 0.2]","[0.3, 0.1, 0.3]",fear,"[0.25, 0.05, 0.25]"
8,aaron-siskind_new-york-2-1948.jpg,['contentment'],['fear'],"['anger', 'disgust', 'fear']","[0.7, 0.1, 0.1]","[0.5, 0.1, 0.0]","[0.1, 0.6, 0.8]",fear,"[0.3, 0.35, 0.4]"
9,aaron-siskind_new-york-24-1988.jpg,['fear'],['fear'],"['excitement', 'amusement', 'fear']","[0.2, 0.3, 0.5]","[0.1, 0.2, 0.2]","[0.5, 0.9, 0.9]",fear,"[0.225, 0.55, 0.625]"
